name,product_url,image_url,size,ean,sku,rrp
Gsd Disposable Flint Lighters,https://www.deebee.co.uk/product/id/746989/barcode/5060066940240/gsd-disposable-flint-lighters,https://www.dbstatic.co.uk/assets/products/small/506006/5060066940240_T0.jpg,50 x SGL,5060066940240,746989,£0.79
Rizla King Size Slim Blue 32s,https://www.deebee.co.uk/product/id/335310/barcode/5010891010434/rizla-king-size-slim-blue-32s,https://www.dbstatic.co.uk/assets/products/small/501089/5010891010434.jpg,50 x SGL,5010891010434,335310,£1.09
Rizla Regular Silver 50s,https://www.deebee.co.uk/product/id/606810/barcode/50008667/rizla-regular-silver-50s,https://www.dbstatic.co.uk/assets/products/small/500086/50008667.jpg,100 x SGL,50008667,606810,£0.59
Nordic Spirit Frosty Berry Extra Strong Nicotine Pouches,https://www.deebee.co.uk/product/id/889057/barcode/5000143658088/nordic-spirit-frosty-berry-extra-strong-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500014/5000143658088.jpg,5 x 20PK,5000143658088,889057,£6.50
Nordic Spirit Frosty Mint Extra Strong Nicotine Pouches,https://www.deebee.co.uk/product/id/889063/barcode/5000143630220/nordic-spirit-frosty-mint-extra-strong-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500014/5000143630220.jpg,5 x 20PK,5000143630220,889063,£6.50
Velo Crispy Peppermint 10mg Nicotine Pouches,https://www.deebee.co.uk/product/id/803935/barcode/5000393085054/velo-crispy-peppermint-10mg-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500039/5000393085054.jpg,10 x 20PK,5000393085054,803935,£6.50
Velo Tropical Ice 10mg,https://www.deebee.co.uk/product/id/873747/barcode/5000393184252/velo-tropical-ice-10mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184252.jpg,5 x 20PK,5000393184252,873747,£6.50
Clipper Soft Touch Lighters,https://www.deebee.co.uk/product/id/743278/barcode/8412765500190/clipper-soft-touch-lighters,https://www.dbstatic.co.uk/assets/products/small/841276/8412765500190.jpg,48 x SGL,8412765500190,743278,£2.10
Clipper Butane Gas 300ml,https://www.deebee.co.uk/product/id/657500/barcode/8412765674853/clipper-butane-gas-300ml,https://www.dbstatic.co.uk/assets/products/small/841276/8412765674853.jpg,12 x 300ML,8412765674853,657500,£2.75
Mcchrystal's Snuff Large Tin,https://www.deebee.co.uk/product/id/181414/barcode/5012974105006/mcchrystals-snuff-large-tin,https://www.dbstatic.co.uk/assets/products/small/501297/5012974105006.jpg,12 x SGL,5012974105006,181414,£2.95
Make Your Own 100 King Size Cigarette Filter Tubes 99p PMP,https://www.deebee.co.uk/product/id/401024/barcode/5000431008984/make-your-own-100-king-size-cigarette-filter-tubes-99p-pmp,https://www.dbstatic.co.uk/assets/products/small/500043/5000431008984.jpg,5 x 100S,5000431008984,401024,£0.99
Velo Freezing Peppermint 14mg,https://www.deebee.co.uk/product/id/873117/barcode/5000393167347/velo-freezing-peppermint-14mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393167347_T0.jpg,10 x 20PK,5000393167347,873117,£6.50
Zig-Zag Papers Green 8 Pack,https://www.deebee.co.uk/product/id/280844/barcode/3057067171089/zig-zag-papers-green-8-pack,https://www.dbstatic.co.uk/assets/products/small/305706/3057067171089.jpg,10 x 8PK,3057067171089,280844,£1.41
Nordic Spirit Forest Berries Strong Can 9mg Nicotine Pouch,https://www.deebee.co.uk/product/id/889120/barcode/5000143593167/nordic-spirit-forest-berries-strong-can-9mg-nicotine-pouch,https://www.dbstatic.co.uk/assets/products/small/500014/5000143593167_T0.jpg,5 x 20PK,5000143593167,889120,£6.50
Rizla Natura King Size Slim Papers 32s,https://www.deebee.co.uk/product/id/736283/barcode/54010406/rizla-natura-king-size-slim-papers-32s,https://www.dbstatic.co.uk/assets/products/small/540104/54010406.jpg,24 x 32S,54010406,736283,£1.40
Nordic Spirit Tropical Mix Strong Can 9mg Nicotine Pouch,https://www.deebee.co.uk/product/id/889113/barcode/5000143073287/nordic-spirit-tropical-mix-strong-can-9mg-nicotine-pouch,https://www.dbstatic.co.uk/assets/products/small/500014/5000143073287_T0.jpg,5 x 20PK,5000143073287,889113,£6.50
Rizla King Size Red 32s,https://www.deebee.co.uk/product/id/444998/barcode/50974009/rizla-king-size-red-32s,https://www.dbstatic.co.uk/assets/products/small/509740/50974009.jpg,50 x SGL,50974009,444998,£1.09
Zig Zag Windproof Individual,https://www.deebee.co.uk/product/id/867250/barcode/5000226000971/zig-zag-windproof-individual,https://www.dbstatic.co.uk/assets/products/small/500022/5000226000971.jpg,25 x SGL,5000226000971,867250,£1.40
Swan Green Corner Cut 6 Pack,https://www.deebee.co.uk/product/id/303063/barcode/5000226002623/swan-green-corner-cut-6-pack,https://www.dbstatic.co.uk/assets/products/small/500022/5000226002623.jpg,24 x 6PK,5000226002623,303063,£1.23
Nordic Spirit Raspberry Nicotine Pouches,https://www.deebee.co.uk/product/id/889070/barcode/5000143396249/nordic-spirit-raspberry-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500014/5000143396249.jpg,5 x 20PK,5000143396249,889070,£6.50
Rizla Classic King Size Combi 32,https://www.deebee.co.uk/product/id/873470/barcode/4030700127512/rizla-classic-king-size-combi-32,https://www.dbstatic.co.uk/assets/products/small/403070/4030700127512.jpg,24 x 32S,4030700127512,873470,£1.40
Nordic Spirit Sweet Mint Extra Strong Nicotine Pouches,https://www.deebee.co.uk/product/id/889136/barcode/5000143207064/nordic-spirit-sweet-mint-extra-strong-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500014/5000143207064.jpg,5 x 20PK,5000143207064,889136,£6.50
Swan Lighters Silver & Black,https://www.deebee.co.uk/product/id/753025/barcode/5000226705838/swan-lighters-silver-black,https://www.dbstatic.co.uk/assets/products/small/500022/5000226705838_T0.jpg,40 x SGL,5000226705838,753025,£1.63
Poppell Flint Lighters,https://www.deebee.co.uk/product/id/668131/barcode/4806025971082/poppell-flint-lighters,https://www.dbstatic.co.uk/assets/products/small/480602/4806025971082.jpg,25 x SGL,4806025971082,668131,£0.92
Bryant & May Extra Long Matches,https://www.deebee.co.uk/product/id/240872/barcode/50226320/bryant-may-extra-long-matches,https://www.dbstatic.co.uk/assets/products/small/502263/50226320.jpg,12 x SGL,50226320,240872,£1.36
RAW Paper Tips,https://www.deebee.co.uk/product/id/753077/barcode/0716165177401/raw-paper-tips,https://www.dbstatic.co.uk/assets/products/small/071616/0716165177401.jpg,50 x SGL,0716165177401,753077,£0.25
Clipper Universal Fluid 133ml,https://www.deebee.co.uk/product/id/657495/barcode/8412765131004/clipper-universal-fluid-133ml,https://www.dbstatic.co.uk/assets/products/small/841276/8412765131004.jpg,6 x 100ML,8412765131004,657495,£2.50
Swan Green Corner Cut x 50,https://www.deebee.co.uk/product/id/065207/barcode/50226627/swan-green-corner-cut-x-50,https://www.dbstatic.co.uk/assets/products/small/502266/50226627.jpg,100 x SGL,50226627,065207,£0.27
Poppell Flint Lighters,https://www.deebee.co.uk/product/id/493370/barcode/8710732226990/poppell-flint-lighters,https://www.dbstatic.co.uk/assets/products/small/871073/8710732226990.jpg,45 x SGL,8710732226990,493370,£0.92
Swan Regular Rolling Machine,https://www.deebee.co.uk/product/id/675371/barcode/50226665/swan-regular-rolling-machine,https://www.dbstatic.co.uk/assets/products/small/502266/50226665.jpg,10 x SGL,50226665,675371,£2.49
Nordic Spirit Tropical Mix Regular 6mg,https://www.deebee.co.uk/product/id/889107/barcode/5000143854190/nordic-spirit-tropical-mix-regular-6mg,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,5 x 20PK,5000143854190,889107,£6.50
Swan Liquorice Papers x 50,https://www.deebee.co.uk/product/id/065265/barcode/50226658/swan-liquorice-papers-x-50,https://www.dbstatic.co.uk/assets/products/small/502266/50226658.jpg,50 x SGL,50226658,065265,£0.41
Swan Flints Extra Length,https://www.deebee.co.uk/product/id/231201/barcode/5000226001572/swan-flints-extra-length,https://www.dbstatic.co.uk/assets/products/small/500022/5000226001572.jpg,24 x 9S,5000226001572,231201,£0.93
Zig Zag Cut Corners 50 Gummed Rolling Papers,https://www.deebee.co.uk/product/id/185567/barcode/30050921/zig-zag-cut-corners-50-gummed-rolling-papers,https://www.dbstatic.co.uk/assets/products/small/300509/30050921.jpg,100 x SGL,30050921,185567,£0.26
Swan Lighter Fluid Extra Refined 100ml,https://www.deebee.co.uk/product/id/233950/barcode/50226924/swan-lighter-fluid-extra-refined-100ml,https://www.dbstatic.co.uk/assets/products/small/502269/50226924.jpg,6 x 100ML,50226924,233950,£3.40
Cook's Matches The Original Kitchen Safety Matches,https://www.deebee.co.uk/product/id/065163/barcode/50226214/cooks-matches-the-original-kitchen-safety-matches,https://www.dbstatic.co.uk/assets/products/small/502262/50226214.jpg,12 x SGL,50226214,065163,£1.36
VELO Lime Flame 8mg Nicotine Pouches,https://www.deebee.co.uk/product/id/875741/barcode/5000393183897/velo-lime-flame-8mg-nicotine-pouches,https://www.dbstatic.co.uk/assets/products/small/500039/5000393183897.jpg,5 x 20PK,5000393183897,875741,£6.50
Swan The Original Vestas Matches,https://www.deebee.co.uk/product/id/726960/barcode/5000226000902/swan-the-original-vestas-matches,https://www.dbstatic.co.uk/assets/products/small/500022/5000226000902.jpg,24 x SGL,5000226000902,726960,£0.45
Velo Strawberry Ice Mini 6mg,https://www.deebee.co.uk/product/id/874744/barcode/5000393184160/velo-strawberry-ice-mini-6mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184160.jpg,5 x 15PK,5000393184160,874744,£5.00
Raw Organic Connoisseur Papers,https://www.deebee.co.uk/product/id/753048/barcode/716165177579/raw-organic-connoisseur-papers,https://www.dbstatic.co.uk/assets/products/small/716165/716165177579_T0.jpg,24 x SGL,716165177579,753048,£1.50
OCB Virgin (unbleached) Cones,https://www.deebee.co.uk/product/id/834005/barcode/3057069235031/ocb-virgin-unbleached-cones,https://www.dbstatic.co.uk/assets/products/small/305706/3057069235031_T0.jpg,20 x 3PK,3057069235031,834005,£1.99
Rizla Regular Rolling Machine,https://www.deebee.co.uk/product/id/976467/barcode/5410133879285/rizla-regular-rolling-machine,https://www.dbstatic.co.uk/assets/products/small/541013/5410133879285.jpg,10 x SGL,5410133879285,976467,£3.49
Velo Bright Spearmint Mini 4mg,https://www.deebee.co.uk/product/id/884861/barcode/5000393184832/velo-bright-spearmint-mini-4mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184832.jpg,10 x 15PK,5000393184832,884861,£5.00
ZigZag Turbo Utility Lighter,https://www.deebee.co.uk/product/id/873701/barcode/5000226001015/zigzag-turbo-utility-lighter,https://www.dbstatic.co.uk/assets/products/small/500022/5000226001015.jpg,18 x SGL,5000226001015,873701,£1.70
Velo Cherry Ice 10mg,https://www.deebee.co.uk/product/id/904411/barcode/5000393184719/velo-cherry-ice-10mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184719.jpg,5 x 20PK,5000393184719,904411,£6.50
Rizla Regular Red,https://www.deebee.co.uk/product/id/442386/barcode/54034396/rizla-regular-red,https://www.dbstatic.co.uk/assets/products/small/540343/54034396.jpg,100 x SGL,54034396,442386,£0.59
Ocb Cones Premium,https://www.deebee.co.uk/product/id/834011/barcode/3014117/ocb-cones-premium,https://www.dbstatic.co.uk/assets/products/small/301411/3014117_T0.jpg,20 x 3PK,3014117,834011,£1.99
Clipper Tube Utility Lighter (Alternative Colours),https://www.deebee.co.uk/product/id/657522/barcode/8412765711572/clipper-tube-utility-lighter-alternative-colours,https://www.dbstatic.co.uk/assets/products/small/841276/8412765711572.jpg,1 x SGL,8412765711572,657522,£2.49
Ship Safety Matches,https://www.deebee.co.uk/product/id/114808/barcode/50226467/ship-safety-matches,https://www.dbstatic.co.uk/assets/products/small/502264/50226467.jpg,100 x SGL,50226467,114808,£0.26
Swan Safety Matches,https://www.deebee.co.uk/product/id/726977/barcode/50226672/swan-safety-matches,https://www.dbstatic.co.uk/assets/products/small/502266/50226672.jpg,60 x SGL,50226672,726977,£0.26
Clipper Butane Gas,https://www.deebee.co.uk/product/id/835127/barcode/8412765994074/clipper-butane-gas,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,6 x 300ML,8412765994074,835127,£2.75
Cricket Outdoor & Home Refillable Firepower,https://www.deebee.co.uk/product/id/642155/barcode/3179110001140/cricket-outdoor-home-refillable-firepower,https://www.dbstatic.co.uk/assets/products/small/317911/3179110001140.jpg,1 x SGL,3179110001140,642155,£2.99
Make Your Own Cigarette Maker,https://www.deebee.co.uk/product/id/401018/barcode/5000431009011/make-your-own-cigarette-maker,https://www.dbstatic.co.uk/assets/products/small/500043/5000431009011.jpg,1 x SGL,5000431009011,401018,£4.00
OCB Unbleached Slim Virgin Paper,https://www.deebee.co.uk/product/id/726216/barcode/30104891/ocb-unbleached-slim-virgin-paper,https://www.dbstatic.co.uk/assets/products/small/301048/30104891_T0.jpg,50 x SGL,30104891,726216,£1.04
Ocb Virgin Slim Filter Tips Bag,https://www.deebee.co.uk/product/id/726239/barcode/3057068215782/ocb-virgin-slim-filter-tips-bag,https://www.dbstatic.co.uk/assets/products/small/305706/3057068215782.jpg,10 x 150S,3057068215782,726239,£1.59
OCB 24 Unbleached Slim Virgin Paper Rolls,https://www.deebee.co.uk/product/id/726222/barcode/30110496/ocb-24-unbleached-slim-virgin-paper-rolls,https://www.dbstatic.co.uk/assets/products/small/301104/30110496.jpg,24 x SGL,30110496,726222,£1.37
Raw Organic King Size Slim Papers,https://www.deebee.co.uk/product/id/753060/barcode/716165174219/raw-organic-king-size-slim-papers,https://www.dbstatic.co.uk/assets/products/small/716165/716165174219_T0.jpg,50 x SGL,716165174219,753060,£1.00
Rizla Micron King Size Papers,https://www.deebee.co.uk/product/id/715767/barcode/54034389/rizla-micron-king-size-papers,https://www.dbstatic.co.uk/assets/products/small/540343/54034389_T0.jpg,50 x SGL,54034389,715767,£1.09
Velo Bright Spearmint Mini 6mg,https://www.deebee.co.uk/product/id/904355/barcode/5000393184863/velo-bright-spearmint-mini-6mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184863.jpg,10 x 15PK,5000393184863,904355,£5.00
Velo Cherry Ice Mini 6mg,https://www.deebee.co.uk/product/id/904434/barcode/5000393184689/velo-cherry-ice-mini-6mg,https://www.dbstatic.co.uk/assets/products/small/500039/5000393184689.jpg,5 x 15PK,5000393184689,904434,£5.00
