name,product_url,image_url,size,ean,sku,rrp
Local Living Press N Seal Sandwich Bags PM1.39,https://www.deebee.co.uk/product/id/902764/barcode/5013668440557/local-living-press-n-seal-sandwich-bags-pm139,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,6 x 40S,5013668440557,902764,£1.39
Snappies 20 Doggie Doo Bags,https://www.deebee.co.uk/product/id/747152/barcode/5023139851201/snappies-20-doggie-doo-bags,https://www.dbstatic.co.uk/assets/products/small/502313/5023139851201.jpg,5 x 20S,5023139851201,747152,£1.39
Co-op Small Resealable Food Bags,https://www.deebee.co.uk/product/id/877890/barcode/5000128930529/co-op-small-resealable-food-bags,https://www.dbstatic.co.uk/assets/products/small/500012/5000128930529_T0.jpg,20 x 25S,5000128930529,877890,£2.49
Co-op Self Seal Ice Cube Bags,https://www.deebee.co.uk/product/id/799440/barcode/5000128930659/co-op-self-seal-ice-cube-bags,https://www.dbstatic.co.uk/assets/products/small/500012/5000128930659_T0.jpg,12 x 20PK,5000128930659,799440,£2.99
Local Living Medium Freezer Bags PM1.00,https://www.deebee.co.uk/product/id/902758/barcode/5013668440526/local-living-medium-freezer-bags-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,6 x 20S,5013668440526,902758,£1.00
Safe Wrap Snap & Seal 30 Food / Freezer Bags Small,https://www.deebee.co.uk/product/id/600353/barcode/5011302116202/safe-wrap-snap-seal-30-food-freezer-bags-small,https://www.dbstatic.co.uk/assets/products/small/501130/5011302116202.jpg,4 x 30S,5011302116202,600353,£2.49
Local Living Large Freezer Bags PM1.00,https://www.deebee.co.uk/product/id/902741/barcode/5013668440496/local-living-large-freezer-bags-pm100,https://www.dbstatic.co.uk/assets/default/default_sm.jpg,6 x 15S,5013668440496,902741,£1.00
Safe Wrap 20 Food / Freezer Bags Large,https://www.deebee.co.uk/product/id/600360/barcode/5011302116257/safe-wrap-20-food-freezer-bags-large,https://www.dbstatic.co.uk/assets/products/small/501130/5011302116257.jpg,4 x 20S,5011302116257,600360,£3.79
"Duracell Plus AA Alkaline Batteries, Pack of 4",https://www.deebee.co.uk/product/id/758021/barcode/5000394017641/duracell-plus-aa-alkaline-batteries-pack-of-4,https://www.dbstatic.co.uk/assets/products/small/500039/5000394017641.jpg,20 x 4PK,5000394017641,758021,£3.99
Panasonic AA 1.5V Zinc Carbon Batteries x 4pk,https://www.deebee.co.uk/product/id/787357/barcode/5410853032830/panasonic-aa-15v-zinc-carbon-batteries-x-4pk,https://www.dbstatic.co.uk/assets/products/small/541085/5410853032830.jpg,12 x 4PK,5410853032830,787357,£1.49
"Duracell Plus AAA Alkaline Batteries, Pack of 4",https://www.deebee.co.uk/product/id/742909/barcode/5000394018457/duracell-plus-aaa-alkaline-batteries-pack-of-4,https://www.dbstatic.co.uk/assets/products/small/500039/5000394018457.jpg,10 x 4PK,5000394018457,742909,£3.99
